,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,51,359,406,765.0,32.0,382.0,
1,2,01/17/2023,51,383,341,724.0,18.0,382.0,
2,3,01/24/2023,56,320,414,734.0,20.0,377.0,
3,4,01/31/2023,56,376,489,865.0,26.0,377.0,
4,5,02/07/2023,80,405,317,722.0,30.0,350.0,
5,6,02/14/2023,33,330,455,785.0,12.0,402.0,
6,7,02/21/2023,34,477,450,927.0,22.0,401.0,
7,8,02/28/2023,25,386,330,716.0,31.0,412.0,
8,9,03/07/2023,32,385,423,808.0,25.0,403.0,
9,10,03/14/2023,30,372,356,728.0,14.0,405.0,
10,11,03/21/2023,36,433,396,829.0,28.0,399.0,
11,12,03/28/2023,34,424,446,870.0,15.0,401.0,
12,Average By Game:,Average By Game:,Average By Game:,387,401,,,,
