,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,119,314,300,614.0,11.0,307.0,
1,2,01/17/2023,132,243,272,515.0,30.0,292.0,
2,3,01/24/2023,158,310,244,554.0,26.0,263.0,
3,4,01/31/2023,126,307,255,562.0,20.0,299.0,
4,5,02/07/2023,135,325,252,577.0,31.0,289.0,
5,6,02/14/2023,111,283,339,622.0,21.0,315.0,
6,7,02/21/2023,135,357,306,663.0,14.0,288.0,
7,8,02/28/2023,126,328,229,557.0,23.0,299.0,
8,9,03/07/2023,151,296,282,578.0,27.0,272.0,
9,10,03/14/2023,150,277,257,534.0,16.0,273.0,
10,11,03/21/2023,129,288,226,514.0,25.0,296.0,
11,12,03/28/2023,152,281,270,551.0,28.0,271.0,
12,Average By Game:,Average By Game:,Average By Game:,300,269,,,,
