,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,68,343,384,727.0,12.0,363.0,
1,2,01/17/2023,64,382,290,672.0,15.0,368.0,
2,3,01/24/2023,79,392,359,751.0,27.0,352.0,
3,4,01/31/2023,70,362,362,724.0,17.0,361.0,
4,5,02/07/2023,71,363,432,795.0,14.0,360.0,
5,6,02/14/2023,65,393,380,773.0,24.0,367.0,
6,7,02/21/2023,60,362,332,694.0,32.0,372.0,
7,8,02/28/2023,65,360,354,714.0,22.0,367.0,
8,9,03/07/2023,65,422,447,869.0,26.0,367.0,
9,10,03/14/2023,57,380,342,722.0,29.0,376.0,
10,11,03/21/2023,59,415,358,773.0,19.0,374.0,
11,12,03/28/2023,59,334,350,684.0,14.0,374.0,
12,Average By Game:,Average By Game:,Average By Game:,375,365,,,,
