,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,97,325,339,664.0,13.0,332.0,
1,2,01/17/2023,25,305,254,559.0,16.0,192.0,
2,3,01/24/2023,65,346,335,681.0,11.0,367.0,
3,4,01/31/2023,73,368,364,732.0,23.0,358.0,
4,5,02/07/2023,75,323,369,692.0,19.0,355.0,
5,6,02/14/2023,78,394,351,745.0,17.0,352.0,
6,7,02/21/2023,76,368,384,752.0,29.0,355.0,
7,8,02/28/2023,72,333,317,650.0,26.0,359.0,
8,9,03/07/2023,78,347,353,700.0,22.0,353.0,
9,10,03/14/2023,90,326,351,677.0,32.0,339.0,
10,11,03/21/2023,78,294,353,647.0,27.0,353.0,
11,12,03/28/2023,81,383,364,747.0,19.0,350.0,
12,Average By Game:,Average By Game:,Average By Game:,342,344,,,,
