,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,101,294,362,656.0,14.0,327.0,
1,2,01/17/2023,101,272,309,581.0,31.0,327.0,
2,3,01/24/2023,117,326,319,645.0,22.0,309.0,
3,4,01/31/2023,113,367,278,645.0,13.0,313.0,
4,5,02/07/2023,112,283,262,545.0,29.0,315.0,
5,6,02/14/2023,119,285,308,593.0,26.0,307.0,
6,7,02/21/2023,121,291,231,522.0,20.0,305.0,
7,8,02/28/2023,125,254,262,516.0,18.0,300.0,
8,9,03/07/2023,131,284,305,589.0,12.0,294.0,
9,10,03/14/2023,130,258,285,543.0,15.0,295.0,
10,11,03/21/2023,131,279,324,603.0,32.0,293.0,
11,12,03/28/2023,131,316,292,608.0,31.0,294.0,
12,Average By Game:,Average By Game:,Average By Game:,292,294,,,,
