,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,157,287,244,531.0,15.0,265.0,
1,2,01/17/2023,136,310,310,620.0,12.0,288.0,
2,3,01/24/2023,126,262,359,621.0,29.0,299.0,
3,4,01/31/2023,126,375,362,737.0,18.0,299.0,
4,5,02/07/2023,109,325,314,639.0,21.0,318.0,
5,6,02/14/2023,106,282,291,573.0,19.0,321.0,
6,7,02/21/2023,113,341,331,672.0,25.0,313.0,
7,8,02/28/2023,110,277,315,592.0,13.0,317.0,
8,9,03/07/2023,112,358,268,626.0,32.0,315.0,
9,10,03/14/2023,111,284,263,547.0,27.0,316.0,
10,11,03/21/2023,115,376,267,643.0,23.0,311.0,
11,12,03/28/2023,115,290,328,618.0,27.0,312.0,
12,Average By Game:,Average By Game:,Average By Game:,313,304,,,,
