,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,80,319,382,701.0,16.0,350.0,
1,2,01/17/2023,121,249,306,555.0,28.0,305.0,
2,3,01/24/2023,134,282,303,585.0,31.0,291.0,
3,4,01/31/2023,134,260,274,534.0,24.0,291.0,
4,5,02/07/2023,141,291,293,584.0,25.0,282.0,
5,6,02/14/2023,140,321,363,684.0,14.0,284.0,
6,7,02/21/2023,153,244,258,502.0,21.0,269.0,
7,8,02/28/2023,132,275,271,546.0,20.0,292.0,
8,9,03/07/2023,135,263,286,549.0,30.0,289.0,
9,10,03/14/2023,137,290,288,578.0,11.0,287.0,
10,11,03/21/2023,158,311,269,580.0,15.0,264.0,
11,12,03/28/2023,136,293,349,642.0,26.0,288.0,
12,Average By Game:,Average By Game:,Average By Game:,283,303,,,,
