,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,117,311,309,620.0,17.0,309.0,
1,2,01/17/2023,117,263,301,564.0,24.0,309.0,
2,3,01/24/2023,189,252,233,485.0,14.0,228.0,
3,4,01/31/2023,156,260,271,531.0,25.0,265.0,
4,5,02/07/2023,131,292,294,586.0,32.0,294.0,
5,6,02/14/2023,132,393,282,675.0,27.0,292.0,
6,7,02/21/2023,124,372,276,648.0,26.0,302.0,
7,8,02/28/2023,121,303,304,607.0,29.0,305.0,
8,9,03/07/2023,120,380,319,699.0,21.0,306.0,
9,10,03/14/2023,130,263,277,540.0,19.0,294.0,
10,11,03/21/2023,114,302,354,656.0,30.0,312.0,
11,12,03/28/2023,112,309,329,638.0,20.0,314.0,
12,Average By Game:,Average By Game:,Average By Game:,308,295,,,,
