,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,85,367,322,689.0,18.0,344.0,
1,2,01/17/2023,85,348,335,683.0,20.0,344.0,
2,3,01/24/2023,87,334,432,766.0,21.0,342.0,
3,4,01/31/2023,74,346,374,720.0,12.0,356.0,
4,5,02/07/2023,75,410,428,838.0,26.0,356.0,
5,6,02/14/2023,63,368,354,722.0,30.0,368.0,
6,7,02/21/2023,64,349,359,708.0,31.0,368.0,
7,8,02/28/2023,66,325,352,677.0,28.0,365.0,
8,9,03/07/2023,69,330,428,758.0,14.0,362.0,
9,10,03/14/2023,67,330,337,667.0,24.0,364.0,
10,11,03/21/2023,97,328,331,659.0,17.0,331.0,
11,12,03/28/2023,96,308,384,692.0,18.0,332.0,
12,Average By Game:,Average By Game:,Average By Game:,345,369,,,,
