,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,262,158,139,297.0,19.0,148.0,
1,2,01/17/2023,262,139,212,351.0,17.0,148.0,
2,3,01/24/2023,234,256,170,426.0,23.0,179.0,
3,4,01/31/2023,167,257,295,552.0,11.0,254.0,
4,5,02/07/2023,235,189,225,414.0,27.0,178.0,
5,6,02/14/2023,223,182,231,413.0,16.0,191.0,
6,7,02/21/2023,222,262,247,509.0,13.0,193.0,
7,8,02/28/2023,212,192,269,461.0,25.0,203.0,
8,9,03/07/2023,208,214,238,452.0,31.0,208.0,
9,10,03/14/2023,206,206,286,492.0,21.0,210.0,
10,11,03/21/2023,203,194,226,420.0,29.0,214.0,
11,12,03/28/2023,202,268,301,569.0,16.0,214.0,
12,Average By Game:,Average By Game:,Average By Game:,209,236,,,,
