,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,138,292,281,573.0,20.0,286.0,
1,2,01/17/2023,138,354,347,701.0,22.0,286.0,
2,3,01/24/2023,123,229,351,580.0,32.0,302.0,
3,4,01/31/2023,110,237,266,503.0,30.0,317.0,
4,5,02/07/2023,127,323,296,619.0,13.0,298.0,
5,6,02/14/2023,124,310,268,578.0,25.0,301.0,
6,7,02/21/2023,127,315,290,605.0,27.0,298.0,
7,8,02/28/2023,126,331,294,625.0,16.0,299.0,
8,9,03/07/2023,112,298,318,616.0,24.0,315.0,
9,10,03/14/2023,129,297,314,611.0,18.0,295.0,
10,11,03/21/2023,128,282,262,544.0,12.0,297.0,
11,12,03/28/2023,131,311,298,609.0,29.0,293.0,
12,Average By Game:,Average By Game:,Average By Game:,298,298,,,,
