,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,155,257,279,536.0,21.0,267.0,
1,2,01/17/2023,155,269,285,554.0,19.0,267.0,
2,3,01/24/2023,143,265,271,536.0,18.0,280.0,
3,4,01/31/2023,154,265,262,527.0,29.0,268.0,
4,5,02/07/2023,155,296,225,521.0,15.0,267.0,
5,6,02/14/2023,157,262,308,570.0,11.0,264.0,
6,7,02/21/2023,154,279,265,544.0,23.0,268.0,
7,8,02/28/2023,96,353,368,721.0,14.0,332.0,
8,9,03/07/2023,150,235,228,463.0,28.0,273.0,
9,10,03/14/2023,154,275,249,524.0,31.0,268.0,
10,11,03/21/2023,154,302,312,614.0,22.0,268.0,
11,12,03/28/2023,150,265,232,497.0,24.0,272.0,
12,Average By Game:,Average By Game:,Average By Game:,276,273,,,,
