,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,131,306,281,587.0,22.0,293.0,
1,2,01/17/2023,131,340,334,674.0,32.0,293.0,
2,3,01/24/2023,111,331,394,725.0,28.0,315.0,
3,4,01/31/2023,98,366,401,767.0,16.0,330.0,
4,5,02/07/2023,86,381,351,732.0,23.0,343.0,
5,6,02/14/2023,82,343,411,754.0,13.0,348.0,
6,7,02/21/2023,77,389,331,720.0,15.0,353.0,
7,8,02/28/2023,77,351,393,744.0,12.0,353.0,
8,9,03/07/2023,75,311,271,582.0,18.0,356.0,
9,10,03/14/2023,74,362,380,742.0,20.0,357.0,
10,11,03/21/2023,80,333,374,707.0,11.0,350.0,
11,12,03/28/2023,92,377,421,798.0,11.0,337.0,
12,Average By Game:,Average By Game:,Average By Game:,349,361,,,,
