,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,45,378,400,778.0,23.0,389.0,
1,2,01/17/2023,45,374,424,798.0,21.0,389.0,
2,3,01/24/2023,40,359,394,753.0,19.0,394.0,
3,4,01/31/2023,47,376,428,804.0,15.0,387.0,
4,5,02/07/2023,81,355,393,748.0,11.0,349.0,
5,6,02/14/2023,39,362,365,727.0,29.0,395.0,
6,7,02/21/2023,46,370,402,772.0,17.0,388.0,
7,8,02/28/2023,45,421,352,773.0,24.0,388.0,
8,9,03/07/2023,47,354,394,748.0,16.0,387.0,
9,10,03/14/2023,48,340,381,721.0,28.0,386.0,
10,11,03/21/2023,50,324,357,681.0,14.0,383.0,
11,12,03/28/2023,54,368,352,720.0,30.0,379.0,
12,Average By Game:,Average By Game:,Average By Game:,365,386,,,,
