,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,111,298,335,633.0,24.0,316.0,
1,2,01/17/2023,111,317,428,745.0,27.0,316.0,
2,3,01/24/2023,86,355,312,667.0,16.0,344.0,
3,4,01/31/2023,89,297,321,618.0,14.0,340.0,
4,5,02/07/2023,96,273,299,572.0,17.0,332.0,
5,6,02/14/2023,104,312,279,591.0,23.0,323.0,
6,7,02/21/2023,122,324,326,650.0,11.0,304.0,
7,8,02/28/2023,106,292,389,681.0,30.0,321.0,
8,9,03/07/2023,143,289,340,629.0,19.0,280.0,
9,10,03/14/2023,104,339,341,680.0,22.0,324.0,
10,11,03/21/2023,102,321,318,639.0,18.0,326.0,
11,12,03/28/2023,103,367,384,751.0,23.0,325.0,
12,Average By Game:,Average By Game:,Average By Game:,315,339,,,,
