,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,177,221,264,485.0,27.0,242.0,
1,2,01/17/2023,177,254,273,527.0,25.0,242.0,
2,3,01/24/2023,168,232,302,534.0,30.0,253.0,
3,4,01/31/2023,164,280,280,560.0,31.0,257.0,
4,5,02/07/2023,159,280,269,549.0,20.0,262.0,
5,6,02/14/2023,157,333,328,661.0,22.0,265.0,
6,7,02/21/2023,152,299,295,594.0,12.0,271.0,
7,8,02/28/2023,148,327,352,679.0,15.0,275.0,
8,9,03/07/2023,140,264,257,521.0,17.0,283.0,
9,10,03/14/2023,143,240,335,575.0,23.0,280.0,
10,11,03/21/2023,142,242,313,555.0,13.0,281.0,
11,12,03/28/2023,142,305,356,661.0,12.0,281.0,
12,Average By Game:,Average By Game:,Average By Game:,273,302,,,,
