,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,130,268,323,591.0,26.0,295.0,
1,2,01/17/2023,99,329,297,626.0,29.0,329.0,
2,3,01/24/2023,106,278,282,560.0,12.0,321.0,
3,4,01/31/2023,123,334,266,600.0,21.0,302.0,
4,5,02/07/2023,115,250,343,593.0,18.0,312.0,
5,6,02/14/2023,175,229,270,499.0,20.0,245.0,
6,7,02/21/2023,174,241,222,463.0,16.0,246.0,
7,8,02/28/2023,117,272,320,592.0,27.0,309.0,
8,9,03/07/2023,173,254,239,493.0,23.0,246.0,
9,10,03/14/2023,123,297,275,572.0,13.0,302.0,
10,11,03/21/2023,125,350,322,672.0,31.0,300.0,
11,12,03/28/2023,120,338,330,668.0,21.0,305.0,
12,Average By Game:,Average By Game:,Average By Game:,286,290,,,,
