,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,88,388,297,685.0,28.0,342.0,
1,2,01/17/2023,88,322,322,644.0,23.0,342.0,
2,3,01/24/2023,88,336,347,683.0,17.0,342.0,
3,4,01/31/2023,102,398,387,785.0,27.0,326.0,
4,5,02/07/2023,54,419,501,920.0,12.0,379.0,
5,6,02/14/2023,30,318,368,686.0,15.0,406.0,
6,7,02/21/2023,44,418,367,785.0,19.0,390.0,
7,8,02/28/2023,43,366,348,714.0,21.0,391.0,
8,9,03/07/2023,46,376,323,699.0,29.0,387.0,
9,10,03/14/2023,53,314,339,653.0,26.0,380.0,
10,11,03/21/2023,58,411,443,854.0,24.0,374.0,
11,12,03/28/2023,53,394,401,795.0,22.0,380.0,
12,Average By Game:,Average By Game:,Average By Game:,371,370,,,,
