,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,130,299,290,589.0,29.0,294.0,
1,2,01/17/2023,152,296,235,531.0,26.0,270.0,
2,3,01/24/2023,134,306,314,620.0,13.0,290.0,
3,4,01/31/2023,129,318,279,597.0,22.0,296.0,
4,5,02/07/2023,157,294,306,600.0,28.0,264.0,
5,6,02/14/2023,117,319,322,641.0,31.0,310.0,
6,7,02/21/2023,119,364,335,699.0,24.0,307.0,
7,8,02/28/2023,149,289,366,655.0,17.0,273.0,
8,9,03/07/2023,104,338,300,638.0,15.0,324.0,
9,10,03/14/2023,107,373,312,685.0,12.0,321.0,
10,11,03/21/2023,139,257,250,507.0,20.0,285.0,
11,12,03/28/2023,105,366,336,702.0,13.0,323.0,
12,Average By Game:,Average By Game:,Average By Game:,318,303,,,,
