,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,97,298,367,665.0,30.0,332.0,
1,2,01/17/2023,97,358,356,714.0,11.0,332.0,
2,3,01/24/2023,86,263,282,545.0,15.0,344.0,
3,4,01/31/2023,107,290,279,569.0,19.0,320.0,
4,5,02/07/2023,115,312,295,607.0,24.0,311.0,
5,6,02/14/2023,117,267,233,500.0,18.0,309.0,
6,7,02/21/2023,126,358,326,684.0,28.0,299.0,
7,8,02/28/2023,121,215,277,492.0,32.0,305.0,
8,9,03/07/2023,128,333,372,705.0,13.0,297.0,
9,10,03/14/2023,122,302,273,575.0,25.0,304.0,
10,11,03/21/2023,124,336,301,637.0,16.0,301.0,
11,12,03/28/2023,122,328,301,629.0,25.0,304.0,
12,Average By Game:,Average By Game:,Average By Game:,305,305,,,,
