,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,171,244,256,500.0,31.0,249.0,
1,2,01/17/2023,98,301,288,589.0,13.0,330.0,
2,3,01/24/2023,149,272,251,523.0,25.0,273.0,
3,4,01/31/2023,126,270,303,573.0,28.0,299.0,
4,5,02/07/2023,130,285,290,575.0,22.0,295.0,
5,6,02/14/2023,181,255,242,497.0,32.0,238.0,
6,7,02/21/2023,161,258,249,507.0,30.0,260.0,
7,8,02/28/2023,131,300,230,530.0,11.0,293.0,
8,9,03/07/2023,180,210,296,506.0,20.0,239.0,
9,10,03/14/2023,176,261,224,485.0,17.0,243.0,
10,11,03/21/2023,135,289,252,541.0,21.0,289.0,
11,12,03/28/2023,164,237,288,525.0,32.0,257.0,
12,Average By Game:,Average By Game:,Average By Game:,265,264,,,,
