,Week,Date,HCP,Gm1,Gm2,SS,Lane,Avg,Unnamed: 8
0,1,01/10/2023,95,370,298,668.0,25.0,334.0,
1,2,01/17/2023,95,330,270,600.0,14.0,334.0,
2,3,01/24/2023,110,333,266,599.0,24.0,316.0,
3,4,01/31/2023,165,284,244,528.0,32.0,256.0,
4,5,02/07/2023,117,322,329,651.0,16.0,309.0,
5,6,02/14/2023,115,304,319,623.0,28.0,311.0,
6,7,02/21/2023,114,328,277,605.0,18.0,312.0,
7,8,02/28/2023,89,242,348,590.0,19.0,340.0,
8,9,03/07/2023,120,341,320,661.0,11.0,306.0,
9,10,03/14/2023,106,346,308,654.0,30.0,321.0,
10,11,03/21/2023,117,353,263,616.0,26.0,309.0,
11,12,03/28/2023,140,270,305,575.0,17.0,283.0,
12,Average By Game:,Average By Game:,Average By Game:,318,295,,,,
